fecha_utc,tienda,tipo,pagina,url,metodo,http_status,bytes,titulo,productos,motivo,archivo_html
2026-09-26T11:42:59.671848+00:00,Dix PS3,playwright,1,https://dixgamer.com/categoria-producto/juegos/ps3/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_ps3/p1_playwright_http403.html
2026-09-26T11:42:59.671877+00:00,Dix PS3,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:42:59.708655+00:00,Dix PS4,woocommerce,1,https://dixgamer.com/categoria-producto/juegos/ps4/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_ps4/p1_http403.html
2026-09-26T11:43:03.746760+00:00,Dix PS4,playwright,1,https://dixgamer.com/categoria-producto/juegos/ps4/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_ps4/p1_playwright_http403.html
2026-09-26T11:43:03.746790+00:00,Dix PS4,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:03.784843+00:00,Dix PS5,woocommerce,1,https://dixgamer.com/categoria-producto/juegos/ps5/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_ps5/p1_http403.html
2026-09-26T11:43:07.826903+00:00,Dix PS5,playwright,1,https://dixgamer.com/categoria-producto/juegos/ps5/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_ps5/p1_playwright_http403.html
2026-09-26T11:43:07.826934+00:00,Dix PS5,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:07.865289+00:00,Dix Playstation,woocommerce,1,https://dixgamer.com/categoria-producto/tarjetas/ps/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_playstation/p1_http403.html
2026-09-26T11:43:11.903262+00:00,Dix Playstation,playwright,1,https://dixgamer.com/categoria-producto/tarjetas/ps/,playwright,403,4677,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_playstation/p1_playwright_http403.html
2026-09-26T11:43:11.903290+00:00,Dix Playstation,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:43:11.941742+00:00,Dix Razer,woocommerce,1,https://dixgamer.com/categoria-producto/tarjetas/razer-gold/,requests,403,4546,Attention Required! | Cloudflare,,HTTP 403,cuarentena_raw/dix_razer/p1_http403.html
