Fuente,Tienda,Nombre,Nombre Limpio,Precio Original,Moneda,Precio UYU,Plataforma,Link,NombreKey,Demanda,Competitividad,ScoreVenta,Nivel,Costo UYU,Precio Venta UYU,Ganancia UYU,Margen sobre venta %
Woocommerce,UYJuegos Xbox One,CYBERPUNK 2077 XBOX ONE,CYBERPUNK 2077 ONE,903 UYU,UYU,903.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-one/cyberpunk-2077-xbox-one/,CYBERPUNK 2077 ONE,56.1,1.0,73.7,MUY ALTO,903.0,1129.0,226.0,20.0
Woocommerce,UYJuegos Xbox XS,CYBERPUNK 2077 XBOX SERIE  X | S,CYBERPUNK 2077 SERIE X | S,1.118 UYU,UYU,1118.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-series-x-s/cyberpunk-2077-xbox-serie-x-s/,CYBERPUNK 2077 SERIE X | S,56.1,1.0,73.7,MUY ALTO,1118.0,1398.0,280.0,20.0
Eneba,Eneba - Xbox Games,Cyberpunk 2077: Ultimate Edition ( X|S),Cyberpunk 2077: Ultimate Edition ( X|S),82.38 USD,USD,3308.41,Xbox,https://www.eneba.com/latam/xbox-cyberpunk-2077-ultimate-edition-xbox-live-xbox-x-s-key-united-states,CYBERPUNK 2077: ULTIMATE EDITION ( X|S),56.1,1.0,73.7,MUY ALTO,3308.0,4135.0,827.0,20.0
Eneba,Eneba - Xbox Games,Destiny 2: The Collection XBOX LIVE,Destiny 2: The Collection XBOX LIVE,20.89 USD,USD,838.95,Xbox,https://www.eneba.com/latam/xbox-destiny-2-legacy-collection-xbox-live-key-united-states,DESTINY 2: THE COLLECTION XBOX LIVE,72.7,1.0,83.6,MUY ALTO,839.0,1049.0,210.0,20.0
Woocommerce,UYJuegos Xbox One,ELDEN RING XBOX ONE,ELDEN RING ONE,1.677 UYU,UYU,1677.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-one/elden-ring-xbox-one/,ELDEN RING ONE,81.0,1.0,88.6,TOP,1677.0,2096.0,419.0,20.0
Shopify,Alpha Xbox,ELDEN RING XBOX ONE/ SERIE X/S,ELDEN RING ONE/ SERIE X/S,14.0 USD,USD,562.24,Xbox,https://alphajuegosdigitales.com/products/red-dead-redemption-xbox-one-x-s,ELDEN RING ONE/ SERIE X/S,81.0,1.0,88.6,TOP,562.0,702.0,140.0,19.9
Woocommerce,UYJuegos Xbox XS,ELDEN RING XBOX SERIE  X | S,ELDEN RING SERIE X | S,1.677 UYU,UYU,1677.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-series-x-s/elden-ring-xbox-serie-x-s/,ELDEN RING SERIE X | S,81.0,1.0,88.6,TOP,1677.0,2096.0,419.0,20.0
Eneba,Eneba - Xbox Games,HELLDIVERS 2: Super Citizen Edition XBOX LIVE,HELLDIVERS 2: Super Citizen Edition XBOX LIVE,44.27 USD,USD,1777.9,Xbox,https://www.eneba.com/latam/xbox-helldivers-2-super-citizen-edition-xbox-live-key-united-states,HELLDIVERS 2: SUPER CITIZEN EDITION XBOX LIVE,83.4,1.0,90.0,TOP,1778.0,2222.0,444.0,20.0
Woocommerce,UYJuegos Xbox One,Hogwarts Legacy Digital Deluxe Edition XBOX ONE,HOGWARTS LEGACY EDITION ONE,3.053 UYU,UYU,3053.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-one/hogwarts-legacy-digital-deluxe-edition-xbox-one/,HOGWARTS LEGACY EDITION ONE,53.7,1.0,72.2,MUY ALTO,3053.0,3816.0,763.0,20.0
Shopify,Alpha Xbox,HOGWARTS LEGACY EDITION XBOX ONE/X/S,HOGWARTS LEGACY EDITION ONE/X/S,15.0 USD,USD,602.4,Xbox,https://alphajuegosdigitales.com/products/hogwarts-legacy-edition-xbox-one-x-s,HOGWARTS LEGACY EDITION ONE/X/S,53.7,1.0,72.2,MUY ALTO,602.0,752.0,150.0,19.9
Woocommerce,UYJuegos Xbox One,HOGWARTS LEGACY XBOX ONE,HOGWARTS LEGACY ONE,1.118 UYU,UYU,1118.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-one/__trashed-4/,HOGWARTS LEGACY ONE,53.7,1.0,72.2,MUY ALTO,1118.0,1398.0,280.0,20.0
Woocommerce,UYJuegos Xbox XS,HOGWARTS LEGACY  XBOX SERIE  X | S,HOGWARTS LEGACY SERIE X | S,1.118 UYU,UYU,1118.0,Xbox,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-xbox/juegos-digitales-xbox-series-x-s/hogwarts-legacy-xbox-serie-x-s/,HOGWARTS LEGACY SERIE X | S,53.7,1.0,72.2,MUY ALTO,1118.0,1398.0,280.0,20.0
